match_id_hash,r_damage_inflictor,d_damage_inflictor,diff_damage_inflictor
a400b8f29dece5f4d266f49f1ae2e98a,842.0,2949.0,-2107.0
b9c57c450ce74a2af79c9ce96fac144d,14967.0,11157.0,3810.0
6db558535151ea18ca70a6892197db41,70.0,68.0,2.0
46a0ddce8f7ed2a8d9bd5edcbb925682,14624.0,8337.0,6287.0
b1b35ff97723d9b7ade1c9c3cf48f770,5940.0,11951.0,-6011.0
19c39fe2af2b547e48708ca005c6ae74,2270.0,1220.0,1050.0
c96d629dc0c39f0c616d1949938a6ba6,23433.0,22722.0,711.0
156c88bff4e9c4668b0f53df3d870f1b,9555.0,16229.0,-6674.0
df50f738c454d430a33b2bf90cb9ef1a,6595.0,11723.0,-5128.0
7469e9440ea3d19b211a484647c7126e,23217.0,26368.0,-3151.0
0aa1c6d7630433a93fe42da5ac810368,44495.0,54053.0,-9558.0
892b5d40992e4b334e159f99b2bb55e6,12324.0,8253.0,4071.0
44eb0c077ca68678bb9bfead29e9c455,33496.0,37911.0,-4415.0
eda82a5a0ae96848e73929c643925633,16355.0,19612.0,-3257.0
ab3cc6ccac661a1385e73a2e9f21313a,16421.0,15877.0,544.0
a3c3892648b873bb869dd81ca0f62286,387.0,422.0,-35.0
34c81a8faede0d8f1f87dcc6ee824658,33051.0,33829.0,-778.0
5feece770ca79e5e8cd8052198b3f533,140689.0,102438.0,38251.0
54aaab1cb8cc5df3c253641618673266,15592.0,15775.0,-183.0
c95069179039952da9db7635ee22972b,83535.0,75987.0,7548.0
8f56cc2468ba5c37edb79f3a7b4af6e6,47177.0,64345.0,-17168.0
171d8515f371cdf5d03c44575cee70c7,14659.0,17232.0,-2573.0
44cdded6d3311134563f743eb77685b2,23206.0,19977.0,3229.0
086e5ed8fee6258a3b6ed9127f833573,76075.0,73266.0,2809.0
b6f39b49177535c9417eecd8c696674d,3899.0,8366.0,-4467.0
8ca9e390d39160645953a682a8d6f225,2085.0,1531.0,554.0
4b6e4e511d399180776d0f23984466b2,45011.0,37019.0,7992.0
fb4860c8425b62dbe413214beb6650c8,25380.0,22826.0,2554.0
06b147af8683a7973e6f431c412448b7,9609.0,14017.0,-4408.0
7d30c0cc9a54fbf92d3fcddcab73d794,29506.0,36894.0,-7388.0
64ed11373bcf2cfea7a60ede637b70d2,55293.0,59161.0,-3868.0
95a57e13d66411aa89e23c2dafa116dd,16312.0,28887.0,-12575.0
00a7f372afae35b59ce3819155d95318,135412.0,131468.0,3944.0
bf366db368cc34b63235973dd3f50b0b,33048.0,29960.0,3088.0
70e55187a655b6daacbf58a832d662db,1656.0,2301.0,-645.0
a26ea6c7d63eb1df557dbcae742b4705,22463.0,30994.0,-8531.0
88f9976aa7627b1f0d3e60d4b0483956,15292.0,18213.0,-2921.0
466e3043a03c98361c311c58d0ecbbf1,17061.0,28897.0,-11836.0
52691d68dd7b50eddb3092220d4aabb9,48659.0,52757.0,-4098.0
73669c2af74776b891fb94a1d1099d25,1943.0,2503.0,-560.0
fa72fbcde4aaf1023c3df5dc7d739674,5692.0,4268.0,1424.0
7174c98d3b2e4ac2b9f5947935cbdd52,19864.0,18039.0,1825.0
3c666e1759bfab4467d11010983fb13e,0.0,0.0,0.0
4a0fdc67b9a1e360dae065ff12fade95,15766.0,21063.0,-5297.0
ba1e963ea091e6af635dedd4ad2e9bbd,997.0,0.0,997.0
86d60b73cbfdbf0a6c291dad12d967f0,43682.0,53930.0,-10248.0
de41039149b7635840f90fc302548eb5,33662.0,28468.0,5194.0
28497cb3f04d45a272e8b7ed9c7199bd,24338.0,13523.0,10815.0
bb72d40b170659cafee461fe458b5331,7920.0,11885.0,-3965.0
5b26efd8f4573da98d7a53e6eb3bfcde,49294.0,47553.0,1741.0
9360b6c02ab8b2c1ffc719423c1ebdb0,6468.0,11205.0,-4737.0
512c0d7cf0312c0767603dd77dc42581,5321.0,9500.0,-4179.0
7849266871db9c0605bd33872a7643fa,13488.0,12203.0,1285.0
fb5c712c74f8317689e7082416b90b77,64396.0,65242.0,-846.0
185cbad860e2632dc088d756e3e61a1a,114062.0,117103.0,-3041.0
2c6ea5bc1788fd5efc72fb741bb4f3b6,99421.0,104030.0,-4609.0
9d59ca0a4cb2514d10f5932fc2007bd1,1871.0,2398.0,-527.0
2f07b1315b85521f9641dc4dfb72b4a0,39170.0,50282.0,-11112.0
dc777a69b5457e32f635827d5994ac20,11064.0,7852.0,3212.0
e4bae80d0f728c1198c57c6e9de948a2,15082.0,9572.0,5510.0
6d8926b8ad2843de397b6ef560b53466,57494.0,65254.0,-7760.0
5c4cd7ba5f0b31ded435690a2a596981,1187.0,1006.0,181.0
ee0df626563ce0e39d5cd039caf141ac,79234.0,85375.0,-6141.0
192f19f03feda5decffa47a9fbc6ba63,19667.0,21500.0,-1833.0
9a4de866c4e057ba4cbf1c2d79210e41,15351.0,12766.0,2585.0
f0cfe3b5e56e8b2f0865dfb4be2ba23f,30041.0,35804.0,-5763.0
fc817a3b4a4cf8269fa295c786c0b9fa,21250.0,22589.0,-1339.0
99f889e363118fc49c6c632aad683f18,40180.0,50925.0,-10745.0
